REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
GU,Gastroenterology & Urology,QEF,Pressure Ulcer Management Tool,2,IDE,N,N,,876.2100,4,510(K) Exempt,A pressure ulcer management tool is a prescription device intended for patients at risk of developing pressure ulcers. The device provides output that supports a user’s decision to increase intervention. The device is an adjunct tool for pressure ulcer management that is not intended for detection or diagnostic purposes.,"A cordless, hand-held portable device.",Intended to be placed on intact skin of a patient's sacrum or heels to measure the electrical capacitance via a coaxial electrode.,Sacrum or heels.,N,N,Ineligible
RA,Radiology,IWP,Radiographic Protective Glove,1,Pre-Amendment,N,N,,892.6500,4,510(K) Exempt,"A protective radiographic glove is a ""personnel protective shield.""  The gloves are intended to protect the operator, patient, or other person from unnecessary exposure to radiation during radiological procedures by providing an attenuating barrier to radiation. Note:  These devices are not patient examination gloves or surgeon's gloves.  -",,,,N,N,Eligible
CV,Cardiovascular,LOX,"Catheters, Transluminal Coronary Angioplasty, Percutaneous",2,IDE,N,N,,870.5100,1,510(K),A PTCA catheter is a device that operates on the principle of hydraulic pressurization applied through an inflatable balloon attached to the distal end.,,,,N,N,Eligible
MI,Microbiology,OZB,Dengue Nucleic Acid Amplification Assay (Naat),2,IDE,N,N,,866.3946,1,510(K),"A qualitative in vitro diagnostic assay for the detection of dengue  virus serotypes 1, 2, 3 or 4 in serum or plasma specimens collected from human patients with signs and symptoms consistent with dengue (mild or severe).","Dengue nucleic acid amplification and detection reagents including primers and probes, positive controls, and human specimen extraction control",Uses nucleic acid amplification technology for detection of dengue virus target sequences,"Human clinical samples e.g., blood serum, plasma",N,N,Eligible
MI,Microbiology,OEP,Influenza A Virus Subtype Differentiation Nucleic Acid Assay,2,IDE,N,N,,866.3980,1,510(K),"A qualitative in vitro diagnostic assay intended to detect and differentiate between influenza a virus subtypes in human respiratory specimens or viral culture.  Detection and differentiation of specific subtype rna aids in the diagnosis of influenza caused by influenza a in conjunction with other clinical and laboratory testing in patients suspected of being infected with these viruses.  Also, it aids in the presumptive laboratory identification of influenza a virus subtypes to provide epidemiological information on influenza.",OIVD,Direct nucleic acid detection,Specific RNA segments,N,N,Eligible
MI,Microbiology,OZZ,Bordetella Pertussis Dna Assay System,2,IDE,N,N,,866.3980,1,510(K),A qualitative in vitro diagnostic assay intended to detect Bordetella pertussis DNA extracted from human respiratory specimens. Detection of Bordetella pertussis DNA aids in the diagnosis of Bordetella pertussis respiratory infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infection.,Bordetella pertussis DNA detection assay systems are devices that consist of reagents and instruments for the detection of Bordetella pertussis DNA extracted from human respiratory specimens.,A qualitative in vitro diagnostic assay intended to Bordetella pertussis DNA extracted from human respiratory specimens.,in vitro diagnostic assay,N,N,Eligible
MI,Microbiology,OZY,Chlamydophila Pneumoniae Dna Assay System,2,IDE,N,N,,866.3980,1,510(K),A qualitative in vitro diagnostic assay intended to detect Chlamydophila pneumoniae DNA extracted from human respiratory specimens. Detection of Chlamydophila pneumoniae DNA aids in the diagnosis of Chlamydophila pneumoniae respiratory infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infection.,Chlamydophila pneumoniae DNA detection assay systems are devices that consist of reagents and instruments for the detection of Chlamydophila pneumoniae DNA extracted from human respiratory specimens.,A qualitative in vitro diagnostic assay intended to Chlamydophila pneumoniae DNA extracted from human respiratory specimens.,in vitro diagnostic assay,N,N,Eligible
MI,Microbiology,OEM,Human Metapneumovirus (Hmpv) Rna Assay System,2,IDE,N,N,,866.3980,1,510(K),A qualitative in vitro diagnostic assay intended to detect human metapneumovirus (hmpv) rna extracted from human respiratory specimens or viral cultures. Detection of hmpv rna aids in the diagnosis of respiratory hmpv infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infections.,Human metapneumovirus (hMPV) RNA detection assay systems are devices that consist of reagents and instruments for the detection of hMPV RNA extracted from human respiratory specimens or viral cultures.,A qualitative in vitro diagnostic assay intended to detect human metapneumovirus (hMPV) RNA extracted from human respiratory specimens or viral cultures.,in vitro diagnostic assay,N,N,Eligible
MI,Microbiology,OZX,Mycoplasma Pneumoniae Dna Assay System,2,IDE,N,N,,866.3980,1,510(K),A qualitative in vitro diagnostic assay intended to detect Mycoplasma pneumoniae DNA extracted from human respiratory specimens. Detection of Mycoplasma pneumoniae DNA aids in the diagnosis of Mycoplasma pneumoniae respiratory infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infection.,Mycoplasma pneumoniae DNA detection assay systems are devices that consist of reagents and instruments for the detection of Mycoplasma pneumoniae DNA extracted from human respiratory specimens.,A qualitative in vitro diagnostic assay intended to detect Mycoplasma pneumoniae DNA extracted from human respiratory specimens.,in vitro diagnostic assay,N,N,Eligible
IM,Immunology,PIL,Test For Periprosthetic Joint Infection,3,For Export Only,N,N,,,7,Enforcement Discretion,a qualitative in vitro diagnostic device intended as an adjunct for the detection of periprosthetic joint infection (PJI) in synovial fluid of patients experiencing pain and/or inflammation in a replacement joint.,test,a qualitative in vitro diagnostic device intended as an adjunct for the detection of periprosthetic joint infection (PJI) in synovial fluid of patients experiencing pain and/or inflammation in a replacement joint.,In Vitro,N,N,Ineligible
PA,Pathology,QAZ,Cancer Predisposition Risk Assessment System,2,IDE,N,N,,866.6090,1,510(K),A qualitative in vitro molecular diagnostic system used for the detection of select variants in specified cancer-related genes. The device is intended to be used on genomic DNA isolated from human specimens collected by the user. The results of the test provide users with a genetic health risk assessment for developing certain cancers. The test may not include all variants associated with a predisposition of developing cancer and is not intended to describe a person’s overall risk of developing any type of cancer nor to aid in determination of treatment or act as a substitute for recommended cancer screenings or appropriate follow-up. The device is for over-the-counter use.,"The test system consists of reagents, instrumentation, software, and instructions needed to understand the test report. The test system includes a collection device, instructions for collecting the specimen, and a pre-addressed shipping label and materials is provided separately to the customer.     Should not include tests intended for prescription use, intended to aid in diagnosis or prognosis of cancer, or intended to make or recommend treatment decisions.","The test system uses multiplex technology to amplify, detect, and identify nucleic acid variants located in specified genes associated with hereditary cancer risk. Variants are identified by comparison to a specified reference sequence, and genetic risk assessment of developing certain cancers is based on scientifically established disease-risk association for each variant. The test is intended to be used as a direct-to-consumer, over-the-counter genomic DNA testing service.","Human clinical specimens (e.g., saliva) collected by the user/customer.",N,N,Ineligible
